Espacio,Imagen_ID,Area,Tiempo_ms,FPS,CPU_%
HSV,68,15982,1.9334000007802388,517.2235438069939,0.0
HSV,69,16398,1.5426999998453539,648.2141700267348,0.0
HSV,70,15372,1.6027999990910757,623.9081610725514,0.0
HSV,71,16351,1.4893999996274943,671.4113067343256,0.0
HSV,72,15724,1.52189999971597,657.0733952208611,0.0
HSV,73,15551,1.6365999999834457,611.0228522608548,0.0
HSV,74,16210,1.7201999999088002,581.3277526177287,60.0
HSV,75,16003,2.109399998516892,474.068455818287,0.0
HSV,76,15574,1.912800000354764,522.7938100243264,0.0
HSV,77,16140,1.6773999996075872,596.160725070908,0.0
HSV,78,15594,1.4962999994168058,668.3151776981605,0.0
HSV,79,15925,1.5631000005669193,639.7543341035832,0.0
HSV,80,16066,1.8111999997927342,552.1201414059384,0.0
HSV,81,16417,1.8694000009418232,534.9309936322828,0.0
HSV,82,16279,1.523899998574052,656.2110380836818,25.0
HSV,83,15946,1.7315999994025333,577.5005776998368,0.0
HSV,84,15862,1.8572000008134637,538.4449706881297,0.0
HSV,85,16210,1.7566999995324295,569.2491605090022,0.0
HSV,86,15663,1.7286000002059154,578.502834594977,0.0
HSV,87,16057,1.670199999352917,598.7306911671826,0.0
HSV,88,16023,1.7232999998668674,580.2820171051206,0.0
HSV,89,15685,2.029400000537862,492.756479617111,0.0
HSV,90,16032,1.607000000149128,622.2775357232116,88.9
HSV,91,16272,1.7118000014306745,584.1803944177053,0.0
HSV,92,16145,2.418500000203494,413.47942936359703,0.0
HSV,93,15774,1.6565999994782032,603.646022162852,0.0
HSV,94,16077,1.6178999994735932,618.0851723378232,0.0
HSV,95,16055,1.7050999995262828,586.4758666810297,0.0
HSV,96,15868,1.982599998882506,504.3881774254266,0.0
HSV,97,16236,1.7607000008865725,567.9559263341091,50.0
HSV,98,16017,2.6361000000179047,379.3482796529752,0.0
HSV,99,16207,2.501299999494222,399.79210818462644,0.0
HSV,100,15752,2.468599999701837,405.08790412411173,0.0
HSV,101,15367,1.9718000003194902,507.15082657367395,0.0
HSV,102,16290,1.91860000086308,521.2133845252534,0.0
HSV,103,15786,1.8600000003061723,537.6344085136512,0.0
HSV,104,16091,1.9355999993422301,516.635668702122,100.0
HSV,105,16183,1.8309000006411225,546.1794743840909,0.0
HSV,106,16081,3.29290000081528,303.68368300052015,0.0
HSV,107,16030,2.2962999992159894,435.48316872421873,0.0
HSV,108,15647,2.473100001225248,404.3508145665642,0.0
HSV,109,15941,2.171500000258675,460.51116734095206,0.0
HSV,110,15842,1.6918000001169275,591.0864167932887,25.0
HSV,111,15623,1.7346000004181406,576.5017870165693,0.0
HSV,112,16066,1.7825000013544923,561.0098172455072,0.0
HSV,113,15799,2.701000001252396,370.23324677390644,0.0
HSV,114,15435,1.8201000002591172,549.42036144038,0.0
HSV,115,16199,2.2528999998030486,443.8723423531543,0.0
HSV,116,16014,1.9386000003578374,515.8361703370548,0.0
HSV,117,15530,1.8417999999655876,542.9471169609535,100.0
HSV,118,15837,1.9356000011612196,516.6356682166112,0.0
HSV,119,15795,1.441000000340864,693.96252585944,0.0
HSV,120,16137,2.044200000455021,489.1889246538542,0.0
HSV,121,15788,2.1043999986432027,475.1948301866295,0.0
HSV,122,15671,2.0029000006616116,499.2760495629703,0.0
HSV,123,15716,1.9509000012476463,512.5839352916482,0.0
HSV,124,15790,2.1166999995330116,472.4335050884022,37.5
HSV,125,16043,1.7540000008011702,570.1254273336559,0.0
HSV,126,15530,2.2035000001778826,453.82346263638425,0.0
HSV,127,15788,1.8018999999185326,554.9697541734902,0.0
HSV,128,16177,2.534699999159784,394.5240069165919,0.0
HSV,129,16203,2.318099999683909,431.3877745292946,0.0
HSV,130,15826,1.9905000008293428,502.386334882366,0.0
HSV,131,15876,1.8539000011514872,539.4034194826495,88.9
HSV,132,15782,2.0397999996930594,490.244141656278,0.0
HSV,133,15764,1.70819999948435,585.4115444923706,0.0
HSV,134,15904,1.8839999993360834,530.7855628197439,0.0
HSV,135,15777,2.284199999849079,437.79003592770846,0.0
HSV,136,15501,2.613599999676808,382.61401902496857,0.0
HSV,137,15749,1.9539000004442642,511.7969188661789,25.0
HSV,138,16080,2.187600000979728,457.12195993424064,0.0
HSV,139,16002,1.575599999341648,634.6788527658302,0.0
HSV,140,15820,1.587400000062189,629.9609423968901,0.0
HSV,141,15948,1.6613999996479833,601.9020104802453,0.0
HSV,142,15747,1.8944000003102701,527.8716215351653,0.0
HSV,143,16047,1.9310000006953487,517.8663902847759,0.0
YCbCr,0,7385,17.491900000095484,57.169318369905,22.4
YCbCr,1,7128,1.4601000002585351,684.8845968241444,40.0
YCbCr,2,7013,1.4135999990685377,707.4136959952809,0.0
YCbCr,3,6773,1.6080000004876638,621.8905470750786,0.0
YCbCr,4,6445,1.6114999998535495,620.539869743021,0.0
YCbCr,5,6449,1.5408999988721916,648.9713808371181,0.0
YCbCr,6,7075,1.3561000014306046,737.4087448898014,0.0
YCbCr,7,7128,1.6456000012112781,607.6810885172151,0.0
YCbCr,8,6828,1.4520999993692385,688.6578062353686,0.0
YCbCr,9,7064,1.4090999993641162,709.6728411406355,0.0
YCbCr,10,6544,1.3581999992311466,736.2685911987061,100.0
YCbCr,11,6677,1.2827000009565381,779.6055190257096,0.0
YCbCr,12,7172,1.9028999995498452,525.5136897559318,0.0
YCbCr,13,6595,1.7687999988993397,565.3550433187833,0.0
YCbCr,14,6594,1.629500000490225,613.6851793182916,0.0
YCbCr,15,7004,1.5574000008200528,642.0958003553664,0.0
YCbCr,16,6897,1.3809000010951422,724.1653988029082,0.0
